149	249	238
154	250	294
159	252	351
166	254	408
173	256	466
182	258	523
191	261	581
201	264	639
211	268	697
222	272	755
234	276	814
246	280	872
258	285	930
173	309	68
174	309	100
175	310	141
177	310	190
180	311	243
184	312	298
188	313	354
194	314	411
200	316	468
207	318	526
215	320	583
224	323	641
233	325	699
243	329	757
254	332	815
265	336	873
276	340	931
207	371	89
207	372	115
208	372	153
210	372	199
212	373	250
215	373	304
219	374	359
224	375	415
229	377	471
236	378	528
243	380	586
250	382	643
259	385	701
267	387	758
277	390	816
287	393	874
297	396	932
241	434	110
241	434	132
242	434	166
244	434	209
246	435	258
248	435	310
252	436	364
256	437	419
260	438	475
266	439	531
272	441	588
279	443	646
286	445	703
294	447	761
302	449	818
311	451	876
321	454	934
276	496	131
276	496	150
277	496	181
278	496	221
280	497	267
282	497	317
285	498	370
288	499	424
293	500	479
297	501	535
303	502	592
309	503	649
315	505	706
322	507	763
330	509	820
338	511	878
347	513	936
311	558	152
311	558	169
312	558	196
313	558	233
314	559	277
316	559	326
319	560	377
322	560	430
326	561	485
330	562	540
335	563	596
340	565	652
346	566	709
352	568	766
359	569	823
366	571	880
374	573	938
346	620	173
347	620	188
347	620	212
348	621	247
349	621	289
351	621	335
353	622	385
356	622	437
359	623	490
363	624	545
367	625	600
372	626	656
377	627	712
383	629	769
389	630	826
396	632	883
403	634	940
382	682	194
382	683	207
383	683	230
383	683	262
385	683	301
386	683	346
388	684	394
391	684	445
394	685	497
397	686	551
401	687	605
405	688	661
410	689	717
415	690	773
421	691	829
427	693	886
433	694	943
418	745	215
418	745	227
418	745	247
419	745	277
420	745	314
422	746	357
423	746	403
426	746	453
428	747	504
431	748	557
435	748	611
438	749	666
443	750	721
447	751	777
453	753	833
458	754	890
464	755	946
454	807	236
454	807	247
454	807	265
455	807	293
456	807	328
457	808	369
459	808	414
461	808	462
463	809	512
466	810	564
469	810	617
472	811	671
476	812	726
481	813	782
485	814	837
490	815	894
496	817	950
489	869	257
490	869	267
490	869	284
491	869	310
492	870	343
493	870	382
494	870	425
496	871	472
498	871	521
501	872	572
503	872	624
507	873	677
510	874	732
514	875	787
519	876	842
523	877	898
528	878	954
525	931	278
526	931	287
526	932	303
527	932	327
527	932	358
528	932	395
530	932	437
531	933	482
533	933	530
536	934	580
538	934	631
541	935	684
545	936	738
548	936	792
552	937	847
557	938	902
561	939	958
562	994	299
562	994	307
562	994	322
563	994	344
563	994	374
564	994	409
566	995	449
567	995	493
569	995	540
571	996	589
573	996	639
576	997	691
579	997	744
583	998	798
586	999	852
590	1000	907
595	1001	963
107	8	3
108	9	55
110	11	112
113	14	170
118	18	228
